Name,RA,DEC.
SDSSJ082804.61+453512.2,127.01924,45.586730000000000
SDSSJ123936.27+253600.6,189.90115500000000,25.600185
SDSSJ091242.10+004000.9,138.175428,0.666931
SDSSJ103531.10+475809.6,158.879623,47.969334
SDSSJ132133.11+312855.9,200.387973,31.482205
SDSSJ122852.95+311325.7,187.220652,31.223813
SDSSJ100254.95+371247.5,150.728964,37.213207000000000
SDSSJ131930.55+111324.7,199.877318,11.223555000000000
SDSSJ125638.01+134049.2,194.158413,13.680355000000000
SDSSJ094951.05+111150.4,147.462748,11.197348
