SDSS_Identifier,CIV_Blueshift (km/s),CIV_EQW
SDSSJ001342.45-002412.6,1488.88659422,101.160256963
SDSSJ014023.83+141151.7,172.315873721,95.0795336217
SDSSJ014658.21-091505.2,406.588016633,97.2895143535
SDSSJ015720.27-093809.1,557.606422808,122.740900851
SDSSJ081656.84+492438.1,1250.74218448,102.881570792
SDSSJ082334.60+213917.5,2546.01543745,84.6835921004
SDSSJ082423.61+260656.3,1465.65299327,81.9446442849
SDSSJ082928.79+401608.4,606.009758121,127.268873835
SDSSJ090502.96+154553.0,209.102408558,114.691453957
SDSSJ092933.99+300240.8,416.268683696,151.515720092
SDSSJ092959.42+270541.6,1576.01259778,101.434559543
SDSSJ095648.48+534713.5,915.79110412,140.57835598
SDSSJ100723.31+162842.6,1198.46658234,110.421087151
SDSSJ101946.98+494848.6,4079.43310015,32.1079919343
SDSSJ104031.38+362611.6,1130.70191291,109.613354987
SDSS1048+0032,0,0
SDSSJ105814.69+015230.6,116.168004759,185.911752136
SDSSJ110041.31+315018.1,249.761210221,99.5013162256
SDSSJ110729.57+270800.7,389.162815921,163.506945514
SDSSJ113047.11+190325.6,1175.23298139,95.7892443688
SDSSJ113244.74+172629.4,911.918837295,124.097894593
SDSSJ113532.86+001411.4,952.577638958,88.1675356438
SDSSJ113548.66-022617.8,346.567880846,116.010230522
SDSSJ114408.55+020221.2,4089.11376721,62.9050787096
SDSS1200+0005,0,0
SDSSJ120845.22+653344.6,1390.14379018,101.32292868
SDSSJ121753.12+294304.6,1109.40444537,153.851646822
SDSSJ122225.34+414117.4,458.863618771,109.92976496
SDSSJ124118.12+624606.1,-191.677207829,186.422027365
SDSSJ130243.08+130039.3,5320.49461756,36.6411138376
SDSSJ130545.73+462417.6,888.685236345,101.32692949
SDSSJ132249.49+324826.8,1597.31006532,102.761321899
SDSSJ133802.31+084638.4,848.026434683,132.019307965
SDSSJ135348.69+071850.7,3758.03495367,54.8343895144
SDSSJ140612.82+292303.0,712.497095808,128.943950158
SDSSJ144326.01+305657.6,207.166275146,162.546124707
SDSSJ144510.01+524538.7,1595.37393191,104.234793048
SDSSJ144925.90+311041.4,487.905619958,163.123234995
SDSSJ150951.87+075658.8,698.94416192,164.039755335
SDSSJ151450.99+544609.1,1690.24446912,96.3968027122
SDSSJ153512.10+540215.2,569.223223283,158.847294635
SDSSJ153745.03+481502.9,249.761210221,134.919817994
SDSSJ154631.77+191407.8,780.261765245,107.759391453
SDSSJ160025.19+302751.2,1368.84632264,86.2166124838
SDSSJ163021.64+411147.0,859.643235158,108.125232134
SDSSJ172057.26+284745.4,3177.19492992,47.3617545153
SDSSJ213109.57+104714.2,575.031623521,101.309391826
SDSSJ215800.38+002724.2,1359.16565558,124.16802417
SDSSJ234607.49-002908.7,120.040271584,141.712362597
SDSSJ235321.03-085930.6,873.196169045,95.5486528285
