RMID,Median_CIV_Blueshift,Median_CIV_EQW
10,2788.04,52.9572
11,114.225,156.492
19,360.118,115.884
31,290.42,152.8945
34,1099.71,101.499
36,898.369,120.5695
41,398.831,266.02750000000003
45,298.172,103.478
51,-23.2327,233.325
59,606.011,183.525
75,166.505,189.878
81,1332.06,104.116
87,654.414,93.785
113,181.985,120.761
116,398.831,138.57
117,625.367,157.667
119,-48.4033,159.488
124,931.268,144.836
128,687.313,104.5075
130,54.2174,156.236
142,-307.839,245.532
153,696.0340000000001,126.25649999999999
155,-60.0315,266.02
159,1384.34,108.2265
161,138.427,187.236
172,1756.06,67.3094
178,648.6,114.94550000000001
180,447.235,142.685
195,251.683,178.258
201,3772.55,64.61085
202,313.653,203.527
205,-98.7447,191.934
207,809.291,92.013
220,635.057,144.051
227,626.336,140.8005
230,303.963,97.5135
231,416.273,117.693
237,280.73,206.615
238,380.444,164.531
253,721.2049999999999,136.997
262,257.497,175.103
271,3510.21,79.2272
275,-145.21,163.4795
283,271.063,104.111
298,606.011,103.406
299,1157.8,77.0681
311,968.067,144.18
317,92.9306,156.5305
321,-49.37235,211.31
327,191.675,166.928
330,1212.99,129.272
339,654.414,105.777
342,-42.5893,166.954
343,731.864,256.454
348,25.1707,184.443
357,1168.45,99.59729999999999
359,505.328,263.374
361,1223.63,157.119
363,3088.12,63.2368
372,127.7795,205.6865
374,81.3025,151.069
380,94.8686,137.481
387,48.4033,194.337
389,149.086,163.995
401,234.265,229.007
405,350.428,217.804
408,532.437,115.8665
409,1169.43,128.76549999999997
416,133.582,207.67399999999998
424,273.001,164.38
435,3.87605,205.744
451,483.06399999999996,109.6605
452,-9.69012,187.074
454,2259.45,84.9807
456,172.319,208.192
461,760.887,127.3655
474,933.206,83.7853
485,1242.025,106.15950000000001
493,242.017,108.99
507,69.698,101.811
508,3361.12,44.6439
517,352.366,151.34050000000002
520,2326.27,63.84555
524,1122.94,116.184
535,894.493,139.966
540,96.80664999999999,163.2035
543,1214.93,98.0801
554,321.405,184.033
555,131.644,166.677
561,706.693,142.953
562,1192.66,71.9739
563,638.91,121.15549999999999
564,1920.63,113.211
573,288.482,178.151
578,238.14100000000002,191.974
591,497.576,80.49875
609,848.027,142.185
611,3892.59,73.3677
613,666.019,137.771
616,422.064,148.435
623,276.854,177.766
630,377.537,124.111
635,896.431,93.8123
660,67.7599,246.1525
671,818.981,110.866
688,582.778,135.616
692,547.917,212.799
693,549.855,132.342
710,1050.34,86.47855
713,1082.29,111.035
715,1609.895,106.374
717,1080.35,193.642
718,360.118,146.997
722,1050.34,103.002
725,2409.51,95.6294
729,715.3910000000001,126.57249999999999
737,336.885,150.597
738,325.257,98.7236
743,1091.98,139.397
765,561.483,119.844
770,553.731,175.676
774,875.136,125.483
780,437.568,188.642
784,648.6,134.339
796,-396.917,197.557
811,454.01800000000003,166.4885
818,615.677,112.668
831,1387.2350000000001,85.7461
