Name,Maj,Min,S1p4_FIRST,S1p4_err,A_morph,C_morph,Flux,FluxErr,PFimfit,PFerrimfit,Sa/Sc,SB,VLBA,z,L6_NVSS,L6_NVSS_alpha0,DATE_NVSS,L6_FIRST,L6_FIRST_alpha0,DATE_FIRST,L6_VLASS,L6_VLASS_alpha0,DATE_VLASS,DATE_VLAA,DATE_VLAC,SDSSName,S(6)_t,pmt,RAobs_1,RAoff,DECobs_1,DECoff,sz_maj,szmajerr,sz_min,szminerr,PA,PAerr,IFimfit,IFerrimfit,IFimfitSF,IFerrimfitSF,PFimfitSF,PFerrimfitSF,Detection,Freq.,RO_Offset,RMS,PF,PF_err,IF,IF_err,S/N,Resolved,SelfCal,Flags,RAobs_Kell,Decobs_Kell,delta,S(6)_p,pmp,f_c,logL,i,I_2a,MI_Z2,LOGL2500,R,LD_cm,Kell_Ratio,logL6GHz [W/Hz],MJD_dr7
0808+4407,472.0,237.0,,,U,U,36.3,8.3,36.3,8.3,0.6,2,0,0.275,,,,,,,,,,2019-08-13,2010-10-31,080829.17+440754.1,61.0,11.2,80829.16,0.15,440754.1,0.0,617.0,157.0,446.0,91.0,63.0,25.0,68.0,22.0,0.0,0.0,0.0,0.0,1.0,5.998836,0.15,7.0,44.0,3.2,53.0,6.3,6.28571428571429,0.0,0.0,0.0,80829.23,440755.1,1.19,61.0,11.2,1.0,22.12,17.615,-22.58,-23.6054384670074,29.601365429106300,0.19,4.38998259731501E+27,0.6,21.901570040890100,
0816+4258,153.0,105.0,,,SR,U,199.0,14.0,178.5,7.4,0.9,2,0,0.234,,,,,,,,,,2019-08-13,2010-10-31,081652.24+425829.4,232.0,13.9,81652.25,-0.15,425829.4,0.0,452.0,21.0,365.0,14.0,90.1,7.0,199.0,14.0,0.0,0.0,0.0,0.0,1.0,5.998853,0.15,7.6,175.7,3.7,159.9,6.1,23.118421052631600,0.0,,0.0,81652.25200000000,425829.21,0.23,232.0,13.9,1.0,22.54,16.636,-23.21,-23.9787523034607,29.7506909636876,0.29,3.65181099874317E+27,0.9,22.485201872292800,
0822+4553,150.0,89.0,427,127,M,U,531.0,33.0151480384384,425.0,10.0,2.4,2,2,0.3,,,,22.61,22.98,1997-03-22,22.87,23.01,2019-05-24,2019-08-13,2010-10-31,082205.24+455349.1,222.0,11.2,82205.244,0.06,455349.133,0.03,443.7,11.8,364.6,8.0,87.9,4.5,451.0,19.0,80.0,27.0,26.7,6.8,1.0,5.998839,0.0670820393249937,6.8,425.0,11.0,408.0,19.0,62.5,,,,82205.23,455349.18,0.13,222.0,11.2,1.0,22.77,17.695,-22.69,-23.688601320759000,29.634630570606900,0.73,4.85286503657633E+27,2.4,23.151097240511500,51868
0834+3826,238.0,39.0,,,U,U,116.8,7.1,116.8,7.1,0.9,2,0,0.28800000000000000,,,,,,,,,,2019-08-13,2010-10-31,083443.80+382632.8,128.0,8.0,83443.805,-0.075,382632.778,-0.02,479.0,33.0,354.0,19.0,80.5,6.9,136.0,14.0,0.0,0.0,0.0,0.0,1.0,5.998905000000000,0.0776208734813001,6.7,117.5,3.9,136.3,7.5,17.537313432835800,0.0,0.0,0.0,83443.82,382633.09,0.37,128.0,8.0,1.0,22.49,17.527,-22.77,-23.8002898909134,29.6793059986687,0.36,4.62949929158494E+27,0.9,22.453821864182900,
0843+5357,838.0,168.0,516,150,E,U,349.0,31.0,122.8,8.2,0.9,2,0.5,0.218,x,x,x,22.39,22.77,1997-05-07,22.45,22.60,2017-09-26,2019-08-13,2010-10-31,084313.41+535718.8,410.0,14.7,84313.4,0.15,535718.832,0.03,910.0,75.0,419.0,23.0,60.8,2.6,349.0,31.0,0.0,0.0,0.0,0.0,1.0,5.998805,0.152970585407784,6.8,120.0,18.0,121.0,33.0,17.6470588235294,1.0,0.0,0.0,84313.396,535718.73,0.14,410.0,14.7,1.0,22.72,16.44,-23.25,-23.9122821159525,29.7241028886843,0.43,3.37104032036754E+27,0.9,22.661518634960600,
0847+2631,312.0,271.0,,,SR,U,41.0,6.3,27.0,2.7,2.4,1,0,0.282,,,,,,,,,,2019-08-04,2010-10-15,084755.63+263147.6,16.8,5.0,84755.63,0.0,263147.689,0.1,549.0,60.0,452.0,42.0,65.0,19.0,41.0,6.3,0.0,0.0,0.0,0.0,1.0,5.999106000000000,0.1,3.6,27.6,2.6,38.1,5.7,7.66666666666667,1.0,0.0,0.0,84755.6,263148.6,1.08,16.8,5.0,1.0,21.58,17.662,-22.59,-23.605535701292900,29.6014043228205,0.05,4.51863254790691E+27,2.4,21.978765678441900,
0856+1057,510.0,237.0,,,SR,U,509,101,305,7.1,1.81785714285714,3,,0.274,,,,,,,,,,,,085640.78+105755.8,280,9.8,,-0.04,,0.05,510.0,39.0,237.0,34.0,,,,,,,,,,,,6.9,,,,,,,,,,,,280,9.8,1.000,22.78,16.888000000000000,-23.3,,,0.44,4.3175908127252E+27,1.81785714285714,23.0448597798304,
0858+3423,370.0,140.0,,,M,U,189.0,24.083189157584600,103.8,8.8,0.9,2,0,0.257,,,,,,,,,,2019-08-13,2010-10-31,085828.69+342343.8,210.0,12.7,85828.70200000000,-0.18,342343.93,0.13,489.0,48.0,352.0,26.0,72.4,8.9,126.0,18.0,63.0,16.0,24.6,4.7,1.0,5.998962000000000,0.222036033111745,7.0,107.8,4.1,115.8,7.6,15.4,,,,85828.74,342343.62,0.65,210.0,12.7,1.0,22.59,16.156,-23.89,-24.8218031639999,30.087911307903300,0.17,4.06264605226278E+27,0.9,22.55281674792940,
0901+1030,0.0,0.0,,,U,U,46.5,6.2,46.5,6.2,0.694029850746269,3,,0.201,,,,,,,,,,,,090151.13+103020.4,67,12.2,,-0.15,,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,21.86,15.991,-23.52,,,0.05,3.04138633963128E+27,0.694029850746269,21.7089430966518,
0904+5114,1500.0,180.0,,,U,U,18.4,6.0,18.4,6.0,0.4,2,0,0.225,,,,,,,,,,2019-08-13,2010-10-31,090454.99+511444.5,46.0,5.7,90455.403,0.0,511444.399,0.0,1550.0,1420.0,380.0,190.0,131.0,11.0,18.4,6.0,0.0,0.0,0.0,0.0,1.0,5.998842,6.19580704993304,7.1,26.6,6.8,26.6,6.8,3.74647887323944,1.0,,,90454.978,511444.81,0.33,46.0,5.7,1.0,21.8,16.637,-23.12,-23.8193790587605,29.6869416658075,0.06,3.49336347069533E+27,0.8,21.73991264634750,
