Flux Density (Jy/b),REDSHIFT
0.00002,1.7755999565124500
-0.00021,1.8766000270843500
-0.00014,1.6675000190734900
0.00042,1.7487000226974500
0.0008,1.815600037574770
0.12425,1.8281999826431300
0.00041,1.7690999507904100
0.00059,1.7562999725341800
0.00036,2.0680999755859400
0.00051,1.7599999904632600
0.00016,1.8961000442504900
0.00157,2.041100025177000
-0.00053,1.9672000408172600
-0.00034,1.7214000225067100
-0.0002,1.732699990272520
0.00058,1.999899983406070
0.00021,1.7354999780654900
-0.00013,1.712499976158140
0.00033,1.7719999551773100
0.00019,1.9256999492645300
0.00017,1.8387999534606900
-0.00057,1.7391999959945700
0.00024,1.6461999416351300
0.00057,1.7654999494552600
0.0009,1.8169000148773200
-0.00022,1.7228000164032000
0.00114,1.8454999923706100
0.00006,1.7408000230789200
0.00048,1.7247999906539900
-0.00035,2.0071001052856400
0.00118,2.028599977493290
0.00124,1.659600019454960
0.00009,1.8207000494003300
0.00065,1.9391000270843500
0.00019,1.8075000047683700
0.00033,1.7408000230789200
-0.00033,1.871000051498410
0.02854,1.6890000104904200
0.0007,1.868899941444400
-0.00101,2.0190999507904100
0.06715,1.7698999643325800
0.0007,1.9055999517440800
0.00011,1.978700041770940
0.002,1.7663999795913700
-0.00038,1.6549999713897700
0.00025,1.8940000534057600
0.00036,1.701200008392330
0.00995,2.0350000858306900
0.00057,2.041100025177000
-0.00013,1.7440999746322600
0.00043,1.871000051498410
0.00008,2.0074000358581500
0.00094,2.061800003051760
0.00094,1.750100016593930
0.00117,2.0473999977111800
-0.00025,1.9678000211715700
-0.00003,1.9974000453949000
-0.00019,1.7022000551223800
0.01477,1.8449000120163000
0.00059,1.6952999830246000
0.00012,1.8808000087738000
-0.00042,1.7369999885559100
-0.0001,1.8486000299453700
-0.00035,2.0211000442504900
-0.00067,1.8102999925613400
0.00024,1.6663999557495100
-0.0006,1.7395999431610100
0.00009,1.9947999715805100
-0.00049,1.7862999439239500
-0.00019,1.9120999574661300
0.00044,1.6629999876022300
-0.00083,1.6584999561309800
0.01307,1.6928999423980700
-0.00037,2.0197999477386500
-0.00047,2.060499906539920
-0.00042,1.6490999460220300
-0.00108,1.798200011253360
-0.00011,1.771399974823000
0.00012,1.8427000045776400
0.00009,1.9491000175476100
0.04092,1.9013999700546300
0.00074,1.714900016784670
0.00002,1.9117000102996800
-0.0001,1.934999942779540
-0.00064,1.7161999940872200
-0.00077,1.8066999912262000
-0.00014,1.9984999895095800
0.01052,1.841599941253660
-0.00064,1.9318000078201300
0.00003,1.7761000394821200
0.00043,1.7589000463485700
0.00977,1.957900047302250
0.00054,1.8377000093460100
0.00043,1.8252999782562300
-0.00022,1.7450000047683700
-0.0007,1.774999976158140
0.00256,1.6514999866485600
0.00002,1.8869999647140500
-0.00006,1.794700026512150
0.00009,2.0481998920440700
-0.00019,1.8461999893188500
-0.00059,1.7822999954223600
0.00075,1.7107000350952100
0.00046,1.8087999820709200
0.00077,1.6928999423980700
0.00015,1.9444999694824200
0.01729,1.770900011062620
0.00062,1.6610000133514400
-0.00025,1.9910000562667800
-0.00102,1.9879000186920200
0.00056,1.7625000476837200
0.00759,2.0678999423980700
-0.00006,1.7908999919891400
0.00034,1.6526999473571800
-0.00027,1.8366999626159700
0.00085,1.71589994430542
-0.00003,1.6677000522613500
0.00086,1.9598000049591100
0.00011,1.8789000511169400
-0.00075,1.9773999452590900
0.00021,1.9206000566482500
-0.00019,1.736899971961980
0.00147,1.8948999643325800
-0.00051,1.9349000453949000
